កងអន្តរាគមន៍	កង|អន្តរាគមន៍	ក・ង・អ・ន・្・ត・រ・ា・គ・ម・ន・៍
ព្រងើយកន្តើយ	ព្រងើយ|កន្តើយ	ព・្・រ・ង・ើ・យ・ក・ន・្・ត・ើ・យ
ព្រលានយន្តហោះ	ព្រលាន|យន្ត|ហោះ	ព・្・រ・ល・ា・ន・យ・ន・្・ត・ហ・ោ・ះ
ព្រហក់កន្តរ៉	ព្រហក់|កន្តរ៉	ព・្・រ・ហ・ក・់・ក・ន・្・ត・រ・៉
ភគវន្ត	ភគវន្ត	ភ・គ・វ・ន・្・ត
ភគវន្តមុនី	ភគវន្ត|មុនី	ភ・គ・វ・ន・្・ត・ម・ុ・ន・ី
ភគវ័ន្ត	ភគវ័ន្ត	ភ・គ・វ・័・ន・្・ត
ភតិសន្យាបន្ត	ភតិសន្យា|បន្ត	ភ・ត・ិ・ស・ន・្・យ・ា・ប・ន・្・ត
ភទន្ត	ភទន្ត	ភ・ទ・ន・្・ត
ភទន្តេ!	ភទន្តេ|!	ភ・ទ・ន・្・ត・េ・!
ភទន្តៈ	ភទន្តៈ	ភ・ទ・ន・្・ត・ៈ
ភប់ភ័ន្ត	ភប់|ភ័ន្ត	ភ・ប・់・ភ・័・ន・្・ត
ភយន្តរាយ	ភយន្តរាយ	ភ・យ・ន・្・ត・រ・ា・យ
ភាពយន្ត	ភាពយន្ត	ភ・ា・ព・យ・ន・្・ត
ភាពយន្តគ	ភាពយន្ត|គ	ភ・ា・ព・យ・ន・្・ត・គ
ភោគវន្តី	ភោគ|វន្តី	ភ・ោ・គ・វ・ន・្・ត・ី
ភោគវ័ន្ត	ភោគ|វ័ន្ត	ភ・ោ・គ・វ・័・ន・្・ត
ភ័ន្ត	ភ័ន្ត	ភ・័・ន・្・ត
មការន្ត	មការ|ន្ត	ម・ក・ា・រ・ន・្・ត
មជ្ឈន្តិក	មជ្ឈន្តិក	ម・ជ・្・ឈ・ន・្・ត・ិ・ក
មជ្ឈន្តិកកាល	មជ្ឈន្តិក|កាល	ម・ជ・្・ឈ・ន・្・ត・ិ・ក・ក・ា・ល
មជ្ឈន្តិកនិយម	មជ្ឈន្តិក|និយម	ម・ជ・្・ឈ・ន・្・ត・ិ・ក・ន・ិ・យ・ម
មជ្ឈន្តិកភាព	មជ្ឈន្តិក|ភាព	ម・ជ・្・ឈ・ន・្・ត・ិ・ក・ភ・ា・ព
មជ្ឈន្តិការិនី	មជ្ឈន្តិការិនី	ម・ជ・្・ឈ・ន・្・ត・ិ・ក・ា・រ・ិ・ន・ី
មជ្ឈន្តិការី	មជ្ឈន្តិការី	ម・ជ・្・ឈ・ន・្・ត・ិ・ក・ា・រ・ី
មជ្ឈន្តិកិរិនី	មជ្ឈន្តិកិរិនី	ម・ជ・្・ឈ・ន・្・ត・ិ・ក・ិ・រ・ិ・ន・ី
មជ្ឈន្តិកី	មជ្ឈន្តិកី	ម・ជ・្・ឈ・ន・្・ត・ិ・ក・ី
មជ្ឈន្តិកៈ	មជ្ឈន្តិកៈ	ម・ជ・្・ឈ・ន・្・ត・ិ・ក・ៈ
មតិមន្ត	មតិ|មន្ត	ម・ត・ិ・ម・ន・្・ត
មតិមន្តី	មតិ|មន្តី	ម・ត・ិ・ម・ន・្・ត・ី
មនុស្សយន្ត	មនុស្ស|យន្ត	ម・ន・ុ・ស・្・ស・យ・ន・្・ត
មន្ត	មន្ត	ម・ន・្・ត
មន្តី	មន្តី	ម・ន・្・ត・ី
មន្ត្រ	មន្ត្រ	ម・ន・្・ត・្・រ
មន្ត្រវិត	មន្ត្រ|វិត	ម・ន・្・ត・្・រ・វ・ិ・ត
មន្ត្រី	មន្ត្រី	ម・ន・្・ត・្・រ・ី
មន្ត្រីកិត្តិយស	មន្ត្រី|កិត្តិ|យស	ម・ន・្・ត・្・រ・ី・ក・ិ・ត・្・ត・ិ・យ・ស
មន្ត្រីខែត្រ	មន្ត្រី|ខែ|ត្រ	ម・ន・្・ត・្・រ・ី・ខ・ែ・ត・្・រ
មន្ត្រីខ្មោច	មន្ត្រី|ខ្មោច	ម・ន・្・ត・្・រ・ី・ខ・្・ម・ោ・ច
មន្ត្រីឃុំ	មន្ត្រី|ឃុំ	ម・ន・្・ត・្・រ・ី・ឃ・ុ・ំ
មន្ត្រីសង្កាត់	មន្ត្រី|សង្កាត់	ម・ន・្・ត・្・រ・ី・ស・ង・្・ក・ា・ត・់
មន្ត្រីសន្និបាត	មន្ត្រី|សន្និបាត	ម・ន・្・ត・្・រ・ី・ស・ន・្・ន・ិ・ប・ា・ត
មន្ត្រីសភា	មន្ត្រី|សភា	ម・ន・្・ត・្・រ・ី・ស・ភ・ា
មន្ត្រីសម្រាប់ឯក	មន្ត្រី|សម្រាប់|ឯក	ម・ន・្・ត・្・រ・ី・ស・ម・្・រ・ា・ប・់・ឯ・ក
មន្ទីរសន្តិសុខ	មន្ទីរ|សន្តិសុខ	ម・ន・្・ទ・ី・រ・ស・ន・្・ត・ិ・ស・ុ・ខ
មរុកន្តារ	មរុកន្តារ	ម・រ・ុ・ក・ន・្・ត・ា・រ
មហន្ត	មហន្ត	ម・ហ・ន・្・ត
មហន្តគុណ	មហន្ត|គុណ	ម・ហ・ន・្・ត・គ・ុ・ណ
មហន្តទោស	មហន្ត|ទោស	ម・ហ・ន・្・ត・ទ・ោ・ស
មហន្តរាយ	មហន្តរាយ	ម・ហ・ន・្・ត・រ・ា・យ
មហន្តាប័ណ	មហន្តាប័ណ	ម・ហ・ន・្・ត・ា・ប・័・ណ
មហាមន្ត្រី	មហា|មន្ត្រី	ម・ហ・ា・ម・ន・្・ត・្・រ・ី
មហាសង្ក្រាន្ត	មហា|សង្ក្រាន្ត	ម・ហ・ា・ស・ង・្・ក・្・រ・ា・ន・្・ត
មហិមន្ត	មហិមន្ត	ម・ហ・ិ・ម・ន・្・ត
មានឱតមានភ័ន្ត	មាន|ឱត|មាន|ភ័ន្ត	ម・ា・ន・ឱ・ត・ម・ា・ន・ភ・័・ន・្・ត
មិច្ឆាកម្មន្តៈ	មិច្ឆា|កម្មន្តៈ	ម・ិ・ច・្・ឆ・ា・ក・ម・្・ម・ន・្・ត・ៈ
មុខមន្ត្រី	មុខ|មន្ត្រី	ម・ុ・ខ・ម・ន・្・ត・្・រ・ី
មូសិកទន្ត	មូសិក|ទន្ត	ម・ូ・ស・ិ・ក・ទ・ន・្・ត
មេនព្វន្ត	មេន|ព្វន្ត	ម・េ・ន・ព・្・វ・ន・្・ត
យន្ត	យន្ត	យ・ន・្・ត
យន្តកម្ម	យន្ត|កម្ម	យ・ន・្・ត・ក・ម・្・ម
យន្តការ	យន្តការ	យ・ន・្・ត・ក・ា・រ
យន្តការី	យន្តការី	យ・ន・្・ត・ក・ា・រ・ី
យន្តបថ	យន្តបថ	យ・ន・្・ត・ប・ថ
យន្តវិជ្ជា	យន្ត|វិជ្ជា	យ・ន・្・ត・វ・ិ・ជ・្・ជ・ា
យន្តសាល	យន្ត|សាល	យ・ន・្・ត・ស・ា・ល
យន្តសាលា	យន្ត|សាលា	យ・ន・្・ត・ស・ា・ល・ា
យន្តសិក្សា	យន្ត|សិក្សា	យ・ន・្・ត・ស・ិ・ក・្・ស・ា
យន្តហោះ	យន្ត|ហោះ	យ・ន・្・ត・ហ・ោ・ះ
យន្តហោះទឹក	យន្ត|ហោះ|ទឹក	យ・ន・្・ត・ហ・ោ・ះ・ទ・ឹ・ក
យន្តហោះប្រដេញ	យន្ត|ហោះ|ប្រដេញ	យ・ន・្・ត・ហ・ោ・ះ・ប・្・រ・ដ・េ・ញ
យន្តហោះលឿនជាងសំឡេង	យន្ត|ហោះ|លឿន|ជាង|សំឡេង	យ・ន・្・ត・ហ・ោ・ះ・ល・ឿ・ន・ជ・ា・ង・ស・ំ・ឡ・េ・ង
យន្តូបនីយកម្ម	យន្តូបនីយ|កម្ម	យ・ន・្・ត・ូ・ប・ន・ី・យ・ក・ម・្・ម
យន្ត្រ	យន្ត្រ	យ・ន・្・ត・្・រ
យន្ត្រវិទ្យា	យន្ត្រ|វិទ្យា	យ・ន・្・ត・្・រ・វ・ិ・ទ・្・យ・ា
យន្ត្រសាស្ត្រ	យន្ត្រ|សាស្ត្រ	យ・ន・្・ត・្・រ・ស・ា・ស・្・ត・្・រ
យន្ត្រសិក្សា	យន្ត្រ|សិក្សា	យ・ន・្・ត・្・រ・ស・ិ・ក・្・ស・ា
យសវន្ត	យសវន្ត	យ・ស・វ・ន・្・ត
យានយន្ត	យាន|យន្ត	យ・ា・ន・យ・ន・្・ត
យានយន្តូបករណ៍	យាន|យន្តូបករណ៍	យ・ា・ន・យ・ន・្・ត・ូ・ប・ក・រ・ណ・៍
យុគន្តកាល	យុគន្តកាល	យ・ុ・គ・ន・្・ត・ក・ា・ល
យុត្តចិន្តា	យុត្ត|ចិន្តា	យ・ុ・ត・្・ត・ច・ិ・ន・្・ត・ា
យុទ្ធសន្តិភាព	យុទ្ធ|សន្តិភាព	យ・ុ・ទ・្・ធ・ស・ន・្・ត・ិ・ភ・ា・ព
យ័ន្ត	យ័ន្ត	យ・័・ន・្・ត
យ័ន្ត្រ	យ័ន្ត្រ	យ・័・ន・្・ត・្・រ
រកស៊ីមួយឆ្នាំកើនបន្តិច	រក|ស៊ី|មួយ|ឆ្នាំ|កើន|បន្តិច	រ・ក・ស・៊・ី・ម・ួ・យ・ឆ・្・ន・ា・ំ・ក・ើ・ន・ប・ន・្・ត・ិ・ច
រជ្ជន្តរកាល	រជ្ជន្តរ|កាល	រ・ជ・្・ជ・ន・្・ត・រ・ក・ា・ល
រដ្ឋប្រសាន្តិភាព	រដ្ឋ|ប្រសាន្តិភាព	រ・ដ・្・ឋ・ប・្・រ・ស・ា・ន・្・ត・ិ・ភ・ា・ព
រដ្ឋមន្ត្រី	រដ្ឋ|មន្ត្រី	រ・ដ・្・ឋ・ម・ន・្・ត・្・រ・ី
រដ្ឋមន្ត្រីគណៈ	រដ្ឋ|មន្ត្រី|គណៈ	រ・ដ・្・ឋ・ម・ន・្・ត・្・រ・ី・គ・ណ・ៈ
រដ្ឋសន្តិភាព	រដ្ឋ|សន្តិភាព	រ・ដ・្・ឋ・ស・ន・្・ត・ិ・ភ・ា・ព
រណមន្ត្រី	រណ|មន្ត្រី	រ・ណ・ម・ន・្・ត・្・រ・ី
រណសាន្តិភាព	រណ|សាន្តិភាព	រ・ណ・ស・ា・ន・្・ត・ិ・ភ・ា・ព
រថបន្តោង	រថ|បន្តោង	រ・ថ・ប・ន・្・ត・ោ・ង
រថយន្ត	រថ|យន្ត	រ・ថ・យ・ន・្・ត
រថយន្តក្រុង	រថ|យន្ត|ក្រុង	រ・ថ・យ・ន・្・ត・ក・្・រ・ុ・ង
រថយន្តគ្រួសារ	រថ|យន្ត|គ្រួសារ	រ・ថ・យ・ន・្・ត・គ・្・រ・ួ・ស・ា・រ
រថយន្ត្រ	រថ|យន្ត្រ	រ・ថ・យ・ន・្・ត・្・រ
រន្តិភាព	រន្តិភាព	រ・ន・្・ត・ិ・ភ・ា・ព
របបសន្តិសុខសង្គម	របប|សន្តិសុខ|សង្គម	រ・ប・ប・ស・ន・្・ត・ិ・ស・ុ・ខ・ស・ង・្・គ・ម
រវៃរថយន្ត	រវៃ|រថ|យន្ត	រ・វ・ៃ・រ・ថ・យ・ន・្・ត
រហស្សចិន្តា	រហស្ស|ចិន្តា	រ・ហ・ស・្・ស・ច・ិ・ន・្・ត・ា
រហស្សមន្តិនី	រហស្ស|មន្តិនី	រ・ហ・ស・្・ស・ម・ន・្・ត・ិ・ន・ី
រហស្សមន្តី	រហស្ស|មន្តី	រ・ហ・ស・្・ស・ម・ន・្・ត・ី
រាជនិមន្តន៍	រាជ|និមន្តន៍	រ・ា・ជ・ន・ិ・ម・ន・្・ត・ន・៍
រាជមន្ត	រាជ|មន្ត	រ・ា・ជ・ម・ន・្・ត
រាជមន្ត្រ	រាជ|មន្ត្រ	រ・ា・ជ・ម・ន・្・ត・្・រ
រាជមន្ត្រី	រាជ|មន្ត្រី	រ・ា・ជ・ម・ន・្・ត・្・រ・ី
រាយមន្ត	រាយ|មន្ត	រ・ា・យ・ម・ន・្・ត
រូបមន្ត	រូបមន្ត	រ・ូ・ប・ម・ន・្・ត
រូបមន្តគីមី	រូបមន្ត|គីមី	រ・ូ・ប・ម・ន・្・ត・គ・ី・ម・ី
រូបវន្ត	រូប|វន្ត	រ・ូ・ប・វ・ន・្・ត
រូបវន្តបុគ្គល	រូប|វន្ត|បុគ្គល	រ・ូ・ប・វ・ន・្・ត・ប・ុ・គ・្・គ・ល
រោគសាន្ត	រោគ|សាន្ត	រ・ោ・គ・ស・ា・ន・្・ត
រោគសាន្តិភាព	រោគ|សាន្តិភាព	រ・ោ・គ・ស・ា・ន・្・ត・ិ・ភ・ា・ព
លក្ខណមន្ត	លក្ខណ|មន្ត	ល・ក・្・ខ・ណ・ម・ន・្・ត
លក្ខន្តិក	លក្ខន្តិក	ល・ក・្・ខ・ន・្・ត・ិ・ក
លក្ខន្តិកប្បញ្ញត្តិ	លក្ខន្តិកប្បញ្ញត្តិ	ល・ក・្・ខ・ន・្・ត・ិ・ក・ប・្・ប・ញ・្・ញ・ត・្・ត・ិ
លក្ខន្តិកសញ្ញា	លក្ខន្តិក|សញ្ញា	ល・ក・្・ខ・ន・្・ត・ិ・ក・ស・ញ・្・ញ・ា
លក្ខន្តិកៈ	លក្ខន្តិកៈ	ល・ក・្・ខ・ន・្・ត・ិ・ក・ៈ
លឃុចិន្តា	លឃុចិន្តា	ល・ឃ・ុ・ច・ិ・ន・្・ត・ា
លន្តែ	លន្តែ	ល・ន・្・ត・ែ
លហុចិន្តា	លហុចិន្តា	ល・ហ・ុ・ច・ិ・ន・្・ត・ា
លាភន្តរាយ	លាភ|ន្តរាយ	ល・ា・ភ・ន・្・ត・រ・ា・យ
លាភសន្តោស	លាភ|សន្តោស	ល・ា・ភ・ស・ន・្・ត・ោ・ស
លេខនព្វន្ត	លេខ|នព្វន្ត	ល・េ・ខ・ន・ព・្・វ・ន・្・ត
លេខយ័ន្ត	លេខ|យ័ន្ត	ល・េ・ខ・យ・័・ន・្・ត
លោកចិន្តា	លោក|ចិន្តា	ល・ោ・ក・ច・ិ・ន・្・ត・ា
លោកន្តគូ	លោក|ន្ត|គូ	ល・ោ・ក・ន・្・ត・គ・ូ
លោកន្តទស្សី	លោក|ន្ត|ទស្សី	ល・ោ・ក・ន・្・ត・ទ・ស・្・ស・ី
លោកន្តរ	លោក|ន្តរ	ល・ោ・ក・ន・្・ត・រ
លោកន្តរនរក	លោក|ន្តរ|នរក	ល・ោ・ក・ន・្・ត・រ・ន・រ・ក
លោកន្តរិកសត្វ	លោក|ន្ត|រិក|សត្វ	ល・ោ・ក・ន・្・ត・រ・ិ・ក・ស・ត・្・វ
លោកសន្តិភាព	លោក|សន្តិភាព	ល・ោ・ក・ស・ន・្・ត・ិ・ភ・ា・ព
លោកសន្តិសុខ	លោក|សន្តិសុខ	ល・ោ・ក・ស・ន・្・ត・ិ・ស・ុ・ខ
លោហកាន្ត	លោហ|កាន្ត	ល・ោ・ហ・ក・ា・ន・្・ត
វគ្គន្តៈ	វគ្គ|ន្តៈ	វ・គ・្・គ・ន・្・ត・ៈ
វញ្ចទន្ត	វញ្ច|ទន្ត	វ・ញ・្・ច・ទ・ន・្・ត
វណ្ណវន្ត	វណ្ណ|វន្ត	វ・ណ・្・ណ・វ・ន・្・ត
វណ្ណវន្តី	វណ្ណ|វន្តី	វ・ណ・្・ណ・វ・ន・្・ត・ី
វត្តវន្ត	វត្ត|វន្ត	វ・ត・្・ត・វ・ន・្・ត
វត្តវន្តី	វត្ត|វន្តី	វ・ត・្・ត・វ・ន・្・ត・ី
វនន្តរ	វនន្តរ	វ・ន・ន・្・ត・រ
វន្ត	វន្ត	វ・ន・្・ត
វន្ទន្ត	វន្ទន្ត	វ・ន・្・ទ・ន・្・ត
វន្ទន្តី	វន្ទន្តី	វ・ន・្・ទ・ន・្・ត・ី
វរមន្ត្រី	វរ|មន្ត្រី	វ・រ・ម・ន・្・ត・្・រ・ី
វសន្តតិលក	វសន្ត|តិលក	វ・ស・ន・្・ត・ត・ិ・ល・ក
វសន្តរដូវ	វសន្ត|រដូវ	វ・ស・ន・្・ត・រ・ដ・ូ・វ
វសន្តរតូវ	វសន្តរ|តូវ	វ・ស・ន・្・ត・រ・ត・ូ・វ
វារិយន្ត្រ	វា|រិយន្ត្រ	វ・ា・រ・ិ・យ・ន・្・ត・្・រ
វាឡកន្តារ	វា|ឡកន្តារ	វ・ា・ឡ・ក・ន・្・ត・ា・រ
វិក្រាន្ត	វិក្រាន្ត	វ・ិ・ក・្・រ・ា・ន・្・ត
វិក្រាន្តយុទ្ធ	វិក្រាន្ត|យុទ្ធ	វ・ិ・ក・្・រ・ា・ន・្・ត・យ・ុ・ទ・្・ធ
វិក្រាន្តសង្គ្រាម	វិក្រាន្ត|សង្គ្រាម	វ・ិ・ក・្・រ・ា・ន・្・ត・ស・ង・្・គ・្・រ・ា・ម
វិចិន្តា	វិចិន្តា	វ・ិ・ច・ិ・ន・្・ត・ា
វិត្តន្តរាយ	វិត្តន្តរាយ	វ・ិ・ត・្・ត・ន・្・ត・រ・ា・យ
វិត្ថារន្តរ	វិត្ថា|រន្តរ	វ・ិ・ត・្・ថ・ា・រ・ន・្・ត・រ
វិធិវន្ត	វិធិវន្ត	វ・ិ・ធ・ិ・វ・ន・្・ត
វិនាសន្តរាយ	វិនាសន្តរាយ	វ・ិ・ន・ា・ស・ន・្・ត・រ・ា・យ
វិព្ភន្ត	វិព្ភន្ត	វ・ិ・ព・្・ភ・ន・្・ត
វិព្ភន្តក	វិព្ភន្តក	វ・ិ・ព・្・ភ・ន・្・ត・ក
វិព្ភន្តចិត្ត	វិព្ភន្ត|ចិត្ត	វ・ិ・ព・្・ភ・ន・្・ត・ច・ិ・ត・្・ត
វិព្ភន្តិកា	វិព្ភន្តិកា	វ・ិ・ព・្・ភ・ន・្・ត・ិ・ក・ា
វិព្ភ័ន្ត	វិព្ភ័ន្ត	វ・ិ・ព・្・ភ・័・ន・្・ត
វិសាលសន្តាន	វិសាល|សន្តាន	វ・ិ・ស・ា・ល・ស・ន・្・ត・ា・ន
វិសុទ្ធសន្តាន	វិសុទ្ធ|សន្តាន	វ・ិ・ស・ុ・ទ・្・ធ・ស・ន・្・ត・ា・ន
វិហង្គយន្ត្រ	វិហង្គ|យន្ត្រ	វ・ិ・ហ・ង・្・គ・យ・ន・្・ត・្・រ
វីរិយវន្ត	វីរិយ|វន្ត	វ・ី・រ・ិ・យ・វ・ន・្・ត
វីរិយវន្តី	វីរិយ|វន្តី	វ・ី・រ・ិ・យ・វ・ន・្・ត・ី
វូបសន្ត	វូប|សន្ត	វ・ូ・ប・ស・ន・្・ត
វូបសន្តចិត្ត	វូប|សន្ត|ចិត្ត	វ・ូ・ប・ស・ន・្・ត・ច・ិ・ត・្・ត
វូបសន្តដ្ឋាន	វូប|សន្ត|ដ្ឋាន	វ・ូ・ប・ស・ន・្・ត・ដ・្・ឋ・ា・ន
វេជយ័ន្ត	វេជយ័ន្ត	វ・េ・ជ・យ・័・ន・្・ត
វេទនាក្សាន្តិ	វេទនា|ក្សាន្តិ	វ・េ・ទ・ន・ា・ក・្・ស・ា・ន・្・ត・ិ
វេទន្ត	វេទន្ត	វ・េ・ទ・ន・្・ត
វេទមន្ត	វេទមន្ត	វ・េ・ទ・ម・ន・្・ត
វេទមន្ត្រ	វេទមន្ត្រ	វ・េ・ទ・ម・ន・្・ត・្・រ
វេទាន្ត	វេទាន្ត	វ・េ・ទ・ា・ន・្・ត
វេស្សន្តរ	វេស្សន្តរ	វ・េ・ស・្・ស・ន・្・ត・រ
វេស្សន្តរជាតក	វេស្សន្តរ|ជាតក	វ・េ・ស・្・ស・ន・្・ត・រ・ជ・ា・ត・ក
សក់កាន្ត	សក់|កាន្ត	ស・ក・់・ក・ា・ន・្・ត
សក់ក័ន្ត	សក់|ក័ន្ត	ស・ក・់・ក・័・ន・្・ត
សង្កិលេសិកសន្តាន	សង្កិលេសិក|សន្តាន	ស・ង・្・ក・ិ・ល・េ・ស・ិ・ក・ស・ន・្・ត・ា・ន
សង្ក្រាន្ត	សង្ក្រាន្ត	ស・ង・្・ក・្・រ・ា・ន・្・ត
សង្ក្រាន្តិ	សង្ក្រាន្តិ	ស・ង・្・ក・្・រ・ា・ន・្・ត・ិ
សជ្ឈន្តិក	សជ្ឈន្តិក	ស・ជ・្・ឈ・ន・្・ត・ិ・ក
សតិមន្ត	សតិ|មន្ត	ស・ត・ិ・ម・ន・្・ត
សតិមន្តី	សតិ|មន្តី	ស・ត・ិ・ម・ន・្・ត・ី
សទារសន្តោស	សទារ|សន្តោស	ស・ទ・ា・រ・ស・ន・្・ត・ោ・ស
សន្តតិ	សន្ត|តិ	ស・ន・្・ត・ត・ិ
សន្តតិកម្ម	សន្ត|តិ|កម្ម	ស・ន・្・ត・ត・ិ・ក・ម・្・ម
សន្តតិជន	សន្ត|តិជន	ស・ន・្・ត・ត・ិ・ជ・ន
សន្តតិវង្ស	សន្ត|តិវង្ស	ស・ន・្・ត・ត・ិ・វ・ង・្・ស
សន្តាន	សន្តាន	ស・ន・្・ត・ា・ន
សន្តានពាក្យ	សន្តាន|ពាក្យ	ស・ន・្・ត・ា・ន・ព・ា・ក・្・យ
សន្តានព្រៀងលាន	សន្តាន|ព្រៀង|លាន	ស・ន・្・ត・ា・ន・ព・្・រ・ៀ・ង・ល・ា・ន
សន្តានសន្ធិ	សន្តាន|សន្ធិ	ស・ន・្・ត・ា・ន・ស・ន・្・ធ・ិ
សន្តាប	សន្តាប	ស・ន・្・ត・ា・ប
សន្តាបចិត្ត	សន្តាប|ចិត្ត	ស・ន・្・ត・ា・ប・ច・ិ・ត・្・ត
សន្តាបទុក្ខ	សន្តា|បទុក្ខ	ស・ន・្・ត・ា・ប・ទ・ុ・ក・្・ខ
សន្តាបរោគ	សន្តាប|រោគ	ស・ន・្・ត・ា・ប・រ・ោ・គ
សន្តាបវេទនា	សន្តាប|វេទនា	ស・ន・្・ត・ា・ប・វ・េ・ទ・ន・ា
សន្តិ	សន្តិ	ស・ន・្・ត・ិ
សន្តិករ	សន្តិករ	ស・ន・្・ត・ិ・ក・រ
សន្តិការកៈ	សន្តិការ|កៈ	ស・ន・្・ត・ិ・ក・ា・រ・ក・ៈ
